,stat,dgf,p-val
0,724.3918749222926,734,0.5926831882792992
1,721.0735858793166,752,0.7856460967536807
2,690.8815113239232,722,0.7919966666508079
3,703.3855695993421,722,0.6831567964000489
4,702.3425893442461,737,0.8158932625838878
5,718.5112252951303,737,0.680198803880113
6,733.159800546326,734,0.5018090941012621
7,721.521028485074,755,0.8043906376929765
8,715.5731104275252,755,0.8450920013822719
9,703.9425258397889,743,0.8447433451773693
10,698.5336684265967,746,0.8922491676755321
11,697.3982631049206,731,0.8092483255726055
12,722.2156317913627,728,0.5535006801835685
13,662.642650383301,746,0.9870155415337626
14,679.4978068316809,728,0.9002382732734315
15,642.5762566767897,734,0.9933476471123338
16,718.0116804658837,731,0.6271284928810563
17,712.9309228286957,755,0.8612972009506886
18,833.0793037208737,746,0.014287295909589165
19,741.5203650917147,761,0.6866981274049028
20,750.3788427023655,749,0.47893499460238254
21,687.3573362248426,737,0.9041874827628537
22,705.6353831518237,743,0.8336419061189702
23,668.4841599210055,737,0.9660456098884237
24,673.6994679620909,737,0.9536176868934274
25,696.1694651419898,716,0.6954282499652253
26,736.9979885785096,734,0.46194467909421194
27,761.9768733656475,728,0.18556618274968043
28,675.3705557262207,722,0.8919394125902558
29,723.5304641031347,731,0.5708626187978121
