,min_ppc,min_mtt,min_gft,agg_ppc,agg_mtt,agg_gft
0,0.04975,0.21008041073071373,0.013020588975700752,0.5885,1.0,0.9999999999999983
1,0.04008333333333333,0.7780151190956464,0.035768807414373764,0.80825,1.0,1.0
2,0.036333333333333336,0.2073891132844698,0.00960291967420783,0.6861666666666667,1.0,1.0
3,0.05975,0.5351758328352518,0.05241517207085728,0.7953333333333333,1.0,1.0
4,0.006583333333333333,0.23179315643048862,0.003120470802479347,0.4529166666666667,1.0,0.9999999999948972
5,0.014583333333333334,0.15327642545896203,0.01756406033627608,0.20391666666666666,1.0,0.9999999048572172
6,0.00225,0.37612095402212,0.0027261512362980597,0.3545,1.0,0.9999999998508527
7,0.006666666666666667,0.2722919880113027,0.011535266496378774,0.26625,1.0,0.9999999999700316
8,0.0655,0.12587418426283742,0.0011786975213035,0.6691666666666667,1.0,0.9999999999999999
9,0.08516666666666667,0.36574654216372754,0.15552623782315625,0.8270833333333333,1.0,1.0
