,mult_std_p,p_2.5,p_97.5,mean,median
0,0.1,0.01555623572953942,0.15418913546040708,0.071275882213252,0.06338364746936162
1,0.1,0.04311993186116344,0.18688859580970593,0.11400269120955729,0.11563030093919544
2,0.1,0.032182002223735365,0.15760562384795487,0.09057540267625709,0.09030979784446075
3,0.1,0.025797560364682934,0.1759433507355812,0.09670955032918344,0.09546722569393878
4,0.1,0.03114034179635201,0.1752897468271308,0.11324035739064127,0.11506708000242852
5,0.1,0.019409822686168313,0.16862015733776495,0.08449976003217136,0.0804318389521525
6,0.1,0.00922247005463274,0.1587271783557633,0.07400342496003935,0.07216097693784912
7,0.1,0.01902848858900512,0.12220408122439708,0.061893289383040236,0.059630791167491426
8,0.1,0.03564554845055419,0.20050901496899903,0.12487683659333004,0.12440010460049464
9,0.1,0.04149397435949741,0.14990315538029808,0.08916617882575764,0.08718560973607725
10,0.2,0.06936989315927465,0.19979646557335626,0.13795152942853514,0.1384981071736805
11,0.2,0.07664031141201166,0.22043203692724306,0.1589370420398928,0.16263736919395158
12,0.2,0.09636801106801789,0.23506913594897064,0.1709923517781235,0.17250972318751145
13,0.2,0.05610039006228904,0.2170335143842261,0.14852620478652814,0.15329395970112347
14,0.2,0.1080976568984197,0.24883520977035342,0.1867280610557447,0.18854051604128985
15,0.2,0.14054674906639447,0.26191262789486786,0.20366493565188962,0.20477811072214888
16,0.2,0.09224170292305009,0.23610428532788702,0.17641297031325143,0.18034788836059273
17,0.2,0.027178988153022623,0.1889977607601546,0.10422620512629283,0.10509452957421184
18,0.2,0.049942458803791945,0.20778626825420232,0.1449475095243143,0.14867374842712994
19,0.2,0.07885526009339838,0.21755041195588407,0.1517419762053792,0.15360678261002608
20,0.3,0.32179255419388875,0.425029968609295,0.37261600335007516,0.3725806057011732
21,0.3,0.21413806255354487,0.32768955438131875,0.2707441195247784,0.27070884006408363
22,0.3,0.2690052798482683,0.3739342834159957,0.3203080742864076,0.31985743511085807
23,0.3,0.2971408189555255,0.40816938553349535,0.3520715948674328,0.35177885333206316
24,0.3,0.13050944538389098,0.24851795082697228,0.19153184503727266,0.19257271737819465
25,0.3,0.18462967950518042,0.2957371322907391,0.2419829530007261,0.2422355554546674
26,0.3,0.257278085888053,0.36035277317449255,0.3078031569242894,0.30754598757385
27,0.3,0.2741014615615625,0.38007868035808406,0.32672681224462446,0.32653958137414474
28,0.3,0.23514039279396112,0.3437423892610516,0.2904888005391297,0.29068239291212405
29,0.3,0.25221869015384246,0.36272865664456055,0.3070973996890019,0.3070108433045819
