,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,n_dims_gt
0,20,8000,3,0.01,67925.42207191068,6400,10.613347198736044,17465.934300118824,1600,10.916208937574265,5
1,20,8000,5,0.01,52630.14442486735,6400,8.223460066385524,13902.13286824885,1600,8.688833042655531,5
2,20,8000,7,0.01,50442.335723578355,6400,7.881614956809118,13321.986827616744,1600,8.326241767260464,5
3,20,8000,9,0.01,49494.10021038273,6400,7.733453157872301,13189.467206393576,1600,8.243417003995985,5
4,20,8000,11,0.01,49074.67815651114,6400,7.667918461954866,13097.830441013015,1600,8.186144025633133,5
5,20,8000,13,0.01,49121.38145781573,6400,7.675215852783708,13198.277939494954,1600,8.248923712184347,5
6,20,8000,15,0.01,50425.223981767944,6400,7.878941247151241,13502.898753929358,1600,8.439311721205849,5
7,20,8000,17,0.01,53671.73776036301,6400,8.38620902505672,14360.405029662932,1600,8.975253143539332,5
8,20,8000,19,0.01,48672.732943048795,6400,7.605114522351374,13122.421174178678,1600,8.201513233861673,5
9,20,8000,21,0.01,48654.45389517465,6400,7.602258421121039,13123.652999626127,1600,8.20228312476633,5
