,n_items,n_questions,n_dims_model,l2_reg,train_err,train_n,train_err_norm,test_err,test_n,test_err_norm,run
0,100,500,2,0.01,1982.0823884182983,400,4.9552059710457454,1047.1818674485783,100,10.471818674485782,0
1,100,500,2,0.01,2044.767932497386,400,5.1119198312434655,1412.1642428037867,100,14.121642428037866,1
2,100,500,2,0.01,2698.489523819089,400,6.746223809547722,2941.528689547129,100,29.41528689547129,2
3,100,500,2,0.01,2806.3649515848147,400,7.015912378962037,2623.647871295942,100,26.23647871295942,3
4,100,500,2,0.01,1893.4744624931116,400,4.733686156232779,1363.0858255477995,100,13.630858255477994,4
5,100,500,3,0.01,1153.8652430439938,400,2.8846631076099847,1370.8869560610306,100,13.708869560610305,0
6,100,500,3,0.01,1150.667516230116,400,2.87666879057529,839.9797465697254,100,8.399797465697254,1
7,100,500,3,0.01,1180.4143012838967,400,2.9510357532097418,1158.912107243377,100,11.58912107243377,2
8,100,500,3,0.01,1316.1236524629794,400,3.2903091311574486,1290.3310271394855,100,12.903310271394854,3
9,100,500,3,0.01,1135.2104854829977,400,2.838026213707494,1452.863780782187,100,14.52863780782187,4
10,100,500,4,0.01,798.3515518437675,400,1.995878879609419,887.6295156584783,100,8.876295156584783,0
11,100,500,4,0.01,833.6989555409447,400,2.084247388852362,1314.3137491745908,100,13.14313749174591,1
12,100,500,4,0.01,891.5710961869503,400,2.2289277404673755,1576.5563940491816,100,15.765563940491816,2
13,100,500,4,0.01,708.7060625323526,400,1.7717651563308814,3027.021982685456,100,30.270219826854557,3
14,100,500,4,0.01,937.4740983029702,400,2.3436852457574258,1439.6802509619592,100,14.396802509619592,4
15,100,500,5,0.01,651.3739624042879,400,1.6284349060107197,1429.5867834895257,100,14.295867834895256,0
16,100,500,5,0.01,733.7248267199952,400,1.8343120667999882,2581.386086888507,100,25.813860868885072,1
17,100,500,5,0.01,535.8393316406095,400,1.3395983291015239,1118.646133397856,100,11.18646133397856,2
18,100,500,5,0.01,592.3529989548125,400,1.4808824973870314,1011.1114252647552,100,10.111114252647551,3
19,100,500,5,0.01,674.8311917688195,400,1.6870779794220487,1230.0365107112102,100,12.300365107112102,4
